,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
846,4674806,HM186963,02/17/2006 07:18:18 PM,012XX N BURLING ST,2027,NARCOTICS,POSS: CRACK,CHA HALLWAY/STAIRWELL/ELEVATOR,TRUE,FALSE,1822,18,27,8,18,1171084,1908425,2006,04/15/2016 08:55:02 AM,41.90419237,-87.64700079,"(41.904192368, -87.647000785)"
847,4674807,HM266297,03/31/2006 10:00:00 PM,066XX S HERMITAGE AVE,0460,BATTERY,SIMPLE,STREET,FALSE,FALSE,725,7,15,67,08B,1165809,1860761,2006,04/15/2016 08:55:02 AM,41.77351178,-87.66773391,"(41.773511779, -87.667733909)"
848,4674809,HM270470,04-04-2006 01:27,006XX E 101ST ST,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,RESIDENCE,FALSE,FALSE,511,5,9,49,08B,1182271,1838133,2006,04/15/2016 08:55:02 AM,41.71105256,-87.60808739,"(41.711052559, -87.608087389)"
849,4674810,HM273434,03/26/2006 02:00:00 AM,054XX S WELLS ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,934,9,3,37,02,1175528,1868969,2006,04/15/2016 08:55:02 AM,41.79582346,-87.63186087,"(41.795823463, -87.63186087)"
850,4674811,HM271475,04-02-2006 17:00,040XX S MAPLEWOOD AVE,0890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,914,9,12,58,06,1160029,1877834,2006,04/15/2016 08:55:02 AM,41.82048314,-87.68845269,"(41.820483139, -87.688452691)"
851,4674812,HM273813,04-04-2006 21:30,049XX N WINTHROP AVE,0560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,2033,20,48,3,08A,1167973,1933230,2006,04/15/2016 08:55:02 AM,41.97232619,-87.65771014,"(41.972326185, -87.65771014)"
852,4674813,HM273087,04-05-2006 10:45,033XX W CRYSTAL ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,TRUE,FALSE,1422,14,26,23,14,1153936,1908123,2006,04/15/2016 08:55:02 AM,41.90372286,-87.70999805,"(41.903722859, -87.709998046)"
853,4674814,HM266936,04-02-2006 05:50,055XX S THROOP ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,713,7,16,67,08B,1168606,1867912,2006,04/15/2016 08:55:02 AM,41.79307513,-87.65727462,"(41.793075127, -87.657274619)"
854,4674815,HM267003,04-02-2006 07:20,069XX S PEORIA ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,TRUE,FALSE,733,7,17,68,05,1171504,1858768,2006,04/15/2016 08:55:02 AM,41.7679199,-87.64691564,"(41.767919899, -87.646915641)"
855,4674817,HM275965,04-06-2006 19:15,073XX S SOUTH SHORE DR,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,334,3,7,43,08B,1195265,1857288,2006,04/15/2016 08:55:02 AM,41.76330531,-87.55987085,"(41.763305308, -87.559870854)"
856,4674818,HM274473,04-05-2006 20:00,002XX S LA SALLE ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,DEPARTMENT STORE,TRUE,FALSE,112,1,42,32,11,1175165,1899313,2006,04/15/2016 08:55:02 AM,41.87909797,-87.63228382,"(41.879097968, -87.632283818)"
857,4674819,HM275817,04-06-2006 18:00,092XX S GREENWOOD AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,FALSE,FALSE,413,4,8,47,14,1185161,1843947,2006,04/15/2016 08:55:02 AM,41.72693957,-87.59732166,"(41.726939567, -87.59732166)"
858,4674822,HM275329,04-04-2006 19:30,008XX W 45TH ST,0810,THEFT,OVER $500,STREET,FALSE,FALSE,921,9,11,61,06,1171386,1875005,2006,04/15/2016 08:55:02 AM,41.81247862,-87.64687295,"(41.812478624, -87.646872954)"
859,4674823,HM276461,04-07-2006 01:20,052XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,934,9,3,61,08B,1171195,1870151,2006,04/15/2016 08:55:02 AM,41.79916293,-87.64771557,"(41.799162926, -87.64771557)"
860,4674825,HM276638,04-07-2006 07:05,020XX W ROSCOE ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,FALSE,FALSE,1913,19,32,5,26,1161939,1922568,2006,04/15/2016 08:55:02 AM,41.94319756,-87.68019698,"(41.943197561, -87.680196981)"
861,4674827,HM256187,03/27/2006 05:54:41 PM,002XX E 75TH ST,0560,ASSAULT,SIMPLE,RESTAURANT,FALSE,FALSE,623,6,6,69,08A,1179015,1855334,2006,04/15/2016 08:55:02 AM,41.75832884,-87.61948902,"(41.758328843, -87.619489017)"
862,4674830,HM275944,04-06-2006 18:45,009XX S AUSTIN BLVD,0460,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,1513,15,29,25,08B,1136517,1895636,2006,04/15/2016 08:55:02 AM,41.86978639,-87.77428182,"(41.869786389, -87.774281815)"
863,4674831,HM275818,04-06-2006 18:00,092XX S GREENWOOD AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,FALSE,FALSE,413,4,8,47,14,1185161,1843947,2006,04/15/2016 08:55:02 AM,41.72693957,-87.59732166,"(41.726939567, -87.59732166)"
864,4674832,HM276136,04-06-2006 15:30,114XX S CALUMET AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,FALSE,FALSE,531,5,9,49,04A,1180618,1829242,2006,04/15/2016 08:55:02 AM,41.68669249,-87.61441278,"(41.686692491, -87.614412782)"
865,4674833,HM266891,04-02-2006 05:00,063XX S RACINE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,724,7,16,67,14,1169410,1862677,2006,04/15/2016 08:55:02 AM,41.77869228,-87.654478,"(41.778692282, -87.654478002)"
866,4674835,HM275861,04-06-2006 18:00,035XX S HALSTED ST,0560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,922,9,11,60,08A,1171546,1881475,2006,04/15/2016 08:55:02 AM,41.83022942,-87.64609626,"(41.830229418, -87.646096257)"
867,4786596,HL655523,10-05-2005 17:32,003XX E 29TH ST,1661,GAMBLING,GAME/DICE,PARK PROPERTY,TRUE,FALSE,2112,2,2,35,19,,,2005,08/17/2015 03:03:40 PM,,,
868,4674837,HM276187,04-06-2006 21:30,090XX S STONY ISLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COIN OPERATED MACHINE,FALSE,FALSE,413,4,8,48,14,1188495,1845293,2006,04/15/2016 08:55:02 AM,41.73055426,-87.58506611,"(41.730554256, -87.585066112)"
869,4674838,HM275185,04-06-2006 12:15,017XX W 51ST ST,0560,ASSAULT,SIMPLE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,931,9,16,61,08A,1165435,1870878,2006,04/15/2016 08:55:02 AM,41.80128203,-87.66881827,"(41.80128203, -87.668818274)"
870,4674840,HM275421,04-06-2006 14:09,060XX S WESTERN AVE,0460,BATTERY,SIMPLE,BANK,TRUE,FALSE,825,8,16,66,08B,1161408,1864461,2006,04/15/2016 08:55:02 AM,41.78375742,-87.68376461,"(41.783757424, -87.683764609)"
871,4674842,HM276728,04-07-2006 00:00,052XX S UNIVERSITY AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2131,2,4,41,06,1184694,1870683,2006,04/15/2016 08:55:02 AM,41.80031665,-87.59819532,"(41.800316651, -87.598195318)"
872,4674843,HM275282,04-06-2006 10:45,060XX W BYRON ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1633,16,38,17,05,1135342,1925294,2006,04/15/2016 08:55:02 AM,41.95119248,-87.77789055,"(41.951192483, -87.777890549)"
873,4674844,HM263697,03/31/2006 11:56:24 AM,012XX W 79TH ST,0860,THEFT,RETAIL THEFT,DRUG STORE,TRUE,FALSE,612,6,21,71,06,1169539,1852401,2006,04/15/2016 08:55:02 AM,41.75049083,-87.65430247,"(41.750490827, -87.654302474)"
874,4674845,HM276533,04-07-2006 02:45,087XX S MANISTEE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,423,4,7,46,14,1196151,1847495,2006,04/15/2016 08:55:02 AM,41.73641067,-87.55694744,"(41.736410667, -87.55694744)"
